"Title","Categories: Sub","ASIN"
"Amazon Basics Bed Sheets Queen Size, Deluxe Microfiber, Blue Pinstripe, 4-Piece","Sheet & Pillowcase Sets, Kitchen & Dining Features, Design 101: styling a bed, Save on Bedding, Private Brands Home CM, Floral Mix","B07QT9PKC6"
"Owala FreeSip Insulated Stainless Steel Water Bottle with Straw for Sports, Travel, and School BPA-Free Sports Water Bottle, 24 oz, Very, Very Dark","Thermoses, Travel & To-Go Drinkware, Kitchen social media trends","B085DTZQNZ"
"AmazonBasics Microfiber Sheet Set, Twin, Bright White","Sheet & Pillowcase Sets, All HPB Day One, Customer Favorites, Kitchen & Dining Features, d34536a7-31a6-4091-a755-bc7310f59854_1, Design 101: styling a bed, Private Brands Home CM, Frustration-Free Packaging: Kitchen & Dining Features - US, Home Essentials","B0154AS4T4"
"Twin Size 3 Piece Sheet Set - Comfy Breathable & Cooling Bed Sheets Set - Hotel Luxury Bedding for Women, Men, Kids & Teens - Deep Pockets, Easy Secure Fit, Soft and Wrinkle Free - Oeko-Tex - Black","Sheet & Pillowcase Sets, Kitchen & Dining Features","B07BGSZPHZ"
"Etekcity Smart Food Kitchen Scale with Nutritional Calculator, Free App with 19 Nutrients Tracking, Calorie, Marco, Digital grams and ounces for weight loss, Premium Stainless Steel, 11lb","Digital Scales, Kitchen & Dining Features, Kitchen instock and available","B07FCZSC41"
"Amazon Basics Digital Kitchen Scale with LCD Display, Batteries Included, Weighs up to 11 pounds, Black and Stainless Steel","Digital Scales, Customer Favorites, Home & Kitchen Features, Kitchen & Dining Features, Kitchen social media trends, Customers' Most-Loved: Kitchen, Kitchen instock and available, Kitchen & Dining","B06X9NQ8GX"
"54x78 Inch Stall Shower Curtain/Liner 8G Heavy Duty Clear PEVA, 3 Bottom Magnets, Waterproof, PVC Free, Metal Grommets","Shower Curtain Liners, Kitchen & Dining Features, Customers' Most-Loved Home_Temp","B07MP2RGPF"
"Alpha Grillers Meat Thermometer Digital - Instant Read Food Thermometer for Cooking Grilling Air Fryer Griddle Probe Kitchen Gadgets Essentials BBQ Accessories Grill Gifts for Men Him Dad Fathers Day","Instant-Read, Meat, V4 Customers Keep It - 30%, Grill Thermometers, Kitchen & Dining Features, Deals Only_Internal, CML Placeholder Kitchen, Customers' Most-Loved Home & Kitchen v2, Customers' Most-Loved: Kitchen, Kitchen Low Return Rate Alert","B00S93EQUK"
"Utopia Bedding Throw Pillows Insert (Pack of 2, White) - 20 x 20 Inches Bed and Couch Pillows - Indoor Decorative Pillow","Pillow Inserts, Kitchen & Dining Features, Pillows and Throws","B07N7LLNQJ"
"Utopia Bedding Throw Pillows Insert (Pack of 2, White) - 26 x 26 Inches Bed and Couch Pillows - Indoor Decorative Pillow","Pillow Inserts, Kitchen & Dining Features","B07Y9QYW88"
