"Title","Categories: Sub","ASIN"
"Amazon Basics Dog and Puppy Pee Pads with 5-Layer Leak-Proof Design and Quick-Dry Surface for Potty Training, Standard Absorbency, X-Large, 28 x 34 Inch - Pack of 60, Blue & White","Disposable Training Pads, Potty Pads, Cat Cleanup and Waste Products Subscribe and Save, Purchased by customers with Pugs, Test, Customer favorites pets, Dog Cleanup and Waste Products Subscribe and Save, Cleanup & Waste, Top Selection from AmazonPets, Cleanup and Waste, Popular products for Pugs, 8346234c-3736-4001-b2a5-9fd229148daa_2501, Dogs, 1ab6389c-6694-49f3-8e08-53003b8ed968_9801, Pet Profile Promotion, Pets SnS Litter & Odor, Shop by brand, Top products pet parents subscribe to, Coupons on dog and cat supplies, Customers Keep It - 60%, Dog Supplies Subscribe & Save, Popular pet items by breed, Pet Profile Savings, Dog Food & Supplies, Dog Essentials by Amazon, Brands we love, Top Pets Products, V4 Customers Keep It - 50%, Discounts on training supplies, AmazonBasics pet products, Top Pet Products, Puppy Essentials, Dog coupons, treats and supplies, Pets 1st Subscribe and Save Offer, Dog toys and supplies, Pets Supplies Subscribe & Save, Pets Low Return Rate Alert","B016C6EOO8"
"Dr. Elsey's Cat Litter - Premium Unscented Cat Litter w/ Natural Ingredients - Low Dust Superior Odor Control Cat Litter - Hard Clumping Moisture Absorbing Clay Multi Cat Litter (For All Cats - 40lbs)","Litter, Cat Cleanup and Waste Products Subscribe and Save, Dog Cleanup and Waste Products Subscribe and Save, Cleanup & Waste, Pets First Subscribe and Save Coupon, Top Selection from AmazonPets, Cleanup and Waste, Pet Birthday, Litter & Refills, Pet Profile Promotion, Pets SnS Litter & Odor, Shop by brand, Top products pet parents subscribe to, Pets First Subscribe and Save Coupon, Most-loved pets deals, Pet Profile Savings, Cat toys and supplies, Pets Top 100, Top Selling Products for New Pet Owners, Coupons on cat food, treats, and supplies, Pets First Subscribe and Save Offer, Cat Food & Supplies, Pets 1st Subscribe and Save Offer, 21617544011, Cat Supplies, Cat- Litter","B0009X29WK"
"Earth Rated Poop Bags for Dogs, Guaranteed Leak Proof and Extra Thick Waste Bag Refill Rolls, Unscented, 270 Count","Bags, Purchased by customers with Pugs, Top Selection from AmazonPets, Popular products for Pugs, Popular with Customers with Mastiffs, Shop by brand, Dog Supplies Subscribe & Save, Popular pet items by breed, Dog Food & Supplies, Customers Keep It - 40%, Dog toys and supplies, Pets Low Return Rate Alert","B00LAI9OM6"
"Purina Fancy Feast Lickable Wet Cat Food Broth Topper, Classic With Chicken and Vegetables - (Pack of 16) 1.4 oz. Pouches","Pouches, Purina Cat Sample Box, Pets Subscribe and Save Coupon Food, Cat & Dog Food, Cat Food, Top Selection from AmazonPets, Pet Birthday, Pet Profile Promotion, Pet Food SnS Coupon, Excluded ASINs, Shop by brand, pet food 40% off first sns, Coupons on dog and cat supplies, Pet Profile Food Savings, Dog & Cat Food, Customers Keep It - 50%, Pet Profile Savings, Pet Food, Prime deal: dog and cat food Subscribe & Save, Coupons on cat food, Cat Supplies Subscribe & Save, Pets First Subscribe and Save Offer, Top Cat Supplies, Cat Food & Supplies, Save on dog & cat food with Subscribe & Save, Pets Supplies Subscribe & Save, Pets Low Return Rate Alert, Pet Profile Birthday Food Rewards, All cat food","B01FZ6N0BO"
"INABA Churu Cat Treats, Grain-Free, Lickable, Squeezable Creamy Purée Cat Treat/Topper with Vitamin E & Taurine, 0.5 Ounces Each Tube, 24 Tubes (4 per Pack), Tuna Recipe","Pastes, Treats, Pets 1st Subscribe and Save Coupon, Treats, Pet Birthday, Pet Treats SnS Coupon, Dog Treats Subscribe and Save, Shop by brand, pet food 40% off first sns, Cat Treats Subscribe and Save, Coupons on dog and cat supplies, Pets 1st Subscribe and Save Coupon, Pet Treats Subscribe and Save, Coupons on cat food, treats, and supplies, Brands we love, Coupons on cat treats, Pets First Subscribe and Save Offer Continued, Top Cat Supplies, Pets 1st Subscribe and Save Offer, Pets Subscribe and Save, Pet Profile Birthday Food Rewards","B07DVZFWCB"
"Temptations Classic Crunchy and Soft Cat Treats Tasty Chicken Flavor, 3 oz. Pouch (Pack of 12)","Crunchy Treats, Top Products from AmazonPets, Save up to 20% on Select Temptations & Pedigree Products, Treats, Pets 1st Subscribe and Save Coupon, Top Selection from AmazonPets, Treats, Pet Birthday, Cat Food & Treats: Recurring Delivery, All Recurring Delivery Products, 1ab6389c-6694-49f3-8e08-53003b8ed968_9801, Pet Profile Promotion, Pet Treats SnS Coupon, Dog Treats Subscribe and Save, Shop by brand, pet food 40% off first sns, Cat Treats Subscribe and Save, Pets 1st Subscribe and Save Coupon, Pet Profile Savings, Select Treats, Top Selections from AmazonPets, Pet Treats Subscribe and Save, Coupons on cat food, treats, and supplies, Top Pets Products, Amazon Pets Sample Box, Cat Supplies Subscribe & Save, $1 Off Temptations Cat Treats, Pets First Subscribe and Save Offer Continued, Top Cat Supplies, Cat Food & Supplies, Top Pet Products, Pets 1st Subscribe and Save Offer, Pets Subscribe and Save, Pets Supplies Subscribe & Save, Cat Treats - Chicken","B00BIZO89K"
"Blue Buffalo Life Protection Formula Natural Adult Healthy Weight Dry Dog Food, Chicken and Brown Rice 15-lb","Dry, Dog Food & Treats Sample Box, Top Dog Supplies, Pets Subscribe and Save Coupon Food, Amazon.com Pets Sampling, Cat & Dog Food, Pets First Subscribe and Save Coupon, Dog Food & Treat Sample Box, Top Selection from AmazonPets, Food & Treat Sample Box, Dog - food dry, Pet Birthday, Dog Food & Treats: Recurring Delivery, All Recurring Delivery Products, Dog Food, Pet Food SnS Coupon, Pet Food, Save up to 20% on Blue Buffalo Products, Shop by brand, pet food 40% off first sns, Coupons on dog and cat supplies, Pet Profile Food Savings, Dog Food, Pets First Subscribe and Save Coupon, Dog & Cat Food, Dog food coupons, Dog Supplies Subscribe & Save, Customers Keep It - 50%, Dog Food & Supplies, Pet Food, Prime deal: dog and cat food Subscribe & Save, Cat Food Subscribe and Save, Top Pets Products, Subscribe & Save on Pet Food, Dog Food Subscribe and Save, Pets First Subscribe and Save Offer, Subscribe and Save Dog Supplies, Top Pet Products, Coupons on dog food, treats, and supplies, Save on dog & cat food with Subscribe & Save, Subscribe and Save Cat Supplies, Pets Supplies Subscribe & Save, Dog Food Coupon Code Terms & Conditions, Pets Low Return Rate Alert, Pet Profile Birthday Food Rewards, Bark at the Park Dog Food Coupon, All dog food","B0009YWMVM"
"Fresh Step Clumping Cat Litter, Multi-Cat, Long Lasting Odor Control Kitty Litter with Activated Charcoal, Low Dust Formula, 14 lb","Litter, Top Products from AmazonPets, Top Selection from AmazonPets, Pet Birthday, Excluded ASINs, Shop by brand, Top products pet parents subscribe to, Most-loved pets deals, Cat toys and supplies, Top Selling Products for New Pet Owners, Top Selections from AmazonPets, Coupons on cat food, treats, and supplies, Top Cat Supplies, Cat Supplies, Cat- Litter, Cat Litter - Clumping, Cat Litter - Multicat","B000VDR8LA"
"Amazon Basics Dog Poop Leak Proof Bags With Dispenser and Leash Clip, Unscented, 600 Count, 40 Pack of 15, Black, 13 Inch x 9 Inch","Bags, Top Pet Food & Supplies Products, Cat Cleanup and Waste Products Subscribe and Save, Purchased by customers with Pugs, Test, Dog Cleanup and Waste Products Subscribe and Save, Cleanup & Waste, Top Selection from AmazonPets, Cleanup and Waste, Top Pet Supplies, Popular products for Pugs, 1ab6389c-6694-49f3-8e08-53003b8ed968_9801, Popular with Customers with Mastiffs, Pet Profile Promotion, Pets SnS Litter & Odor, Shop by brand, Coupons on dog and cat supplies, Dog Supplies Subscribe & Save, Popular pet items by breed, Pet Profile Savings, Dog Food & Supplies, AmazonBasics pet products, Dog coupons, treats and supplies, Pets 1st Subscribe and Save Offer, Dog toys and supplies, Pets Supplies Subscribe & Save, Pets Low Return Rate Alert","B00NABTG60"
"Earth Rated Hypoallergenic Pet Wipes for Dogs & Cats, Cleaning and Odor-Controlling Grooming for Paws, Body, and Butt, Unscented, 400 Count","Grooming Wipes, Grooming & Health Supplies","B088KZGCQG"
